space,subspace,title,prompt,answer
mainframe,vsam/operações,VSAM 011 - Write,"Quais cuidados existem ao gravar um novo registro VSAM? Responda pensando em operação, modelagem e manutenção no ciclo 1.","Nível 1: Ao gravar, devem ser respeitados layout, chave, espaço disponível e regras de unicidade ou posicionamento do dataset. | Nível 2: No ciclo 1, a resposta madura considera não só definição conceitual, mas também como o tipo de dataset afeta carga, reorganização, concorrência e custo operacional. | Nível 3: Exemplo: um cadastro de clientes com consulta por código costuma caber bem em KSDS; já uma trilha de eventos append-only pode preferir ESDS; e um repositório apoiado por produto de banco pode usar LDS. | Nível 4: Uma decisão ruim de organização impacta performance por anos, porque muda utilitários, tratamento de erro, estratégia de backup e janela de batch."
mainframe,vsam/operações,VSAM 012 - Rewrite,"Quando um REWRITE é permitido e o que pode dar errado? Responda pensando em operação, modelagem e manutenção no ciclo 1.","Nível 1: REWRITE só é seguro após leitura adequada do registro-alvo e pode falhar por concorrência, chave inválida ou comprimento inconsistente. | Nível 2: No ciclo 1, a resposta madura considera não só definição conceitual, mas também como o tipo de dataset afeta carga, reorganização, concorrência e custo operacional. | Nível 3: Exemplo: um cadastro de clientes com consulta por código costuma caber bem em KSDS; já uma trilha de eventos append-only pode preferir ESDS; e um repositório apoiado por produto de banco pode usar LDS. | Nível 4: Uma decisão ruim de organização impacta performance por anos, porque muda utilitários, tratamento de erro, estratégia de backup e janela de batch."
mainframe,vsam/operações,VSAM 013 - Delete,"O que acontece ao excluir registros em KSDS e ESDS? Responda pensando em operação, modelagem e manutenção no ciclo 1.","Nível 1: Em KSDS o registro é removido logicamente do conjunto indexado; em ESDS a exclusão tem limitações e frequentemente exige reorganização operacional. | Nível 2: No ciclo 1, a resposta madura considera não só definição conceitual, mas também como o tipo de dataset afeta carga, reorganização, concorrência e custo operacional. | Nível 3: Exemplo: um cadastro de clientes com consulta por código costuma caber bem em KSDS; já uma trilha de eventos append-only pode preferir ESDS; e um repositório apoiado por produto de banco pode usar LDS. | Nível 4: Uma decisão ruim de organização impacta performance por anos, porque muda utilitários, tratamento de erro, estratégia de backup e janela de batch."
mainframe,vsam/idcams,VSAM 014 - Define Cluster,"Qual o papel do DEFINE CLUSTER na criação de um dataset VSAM? Responda pensando em operação, modelagem e manutenção no ciclo 1.","Nível 1: DEFINE CLUSTER cria a definição do dataset com parâmetros de espaço, organização, chaves e atributos operacionais. | Nível 2: No ciclo 1, a resposta madura considera não só definição conceitual, mas também como o tipo de dataset afeta carga, reorganização, concorrência e custo operacional. | Nível 3: Exemplo: um cadastro de clientes com consulta por código costuma caber bem em KSDS; já uma trilha de eventos append-only pode preferir ESDS; e um repositório apoiado por produto de banco pode usar LDS. | Nível 4: Uma decisão ruim de organização impacta performance por anos, porque muda utilitários, tratamento de erro, estratégia de backup e janela de batch."
mainframe,vsam/idcams,VSAM 015 - Repro,"Quando usar REPRO e quais limitações devem ser consideradas? Responda pensando em operação, modelagem e manutenção no ciclo 1.","Nível 1: REPRO copia ou carrega dados entre datasets, sendo muito útil em carga inicial, backup lógico e reorganização. | Nível 2: No ciclo 1, a resposta madura considera não só definição conceitual, mas também como o tipo de dataset afeta carga, reorganização, concorrência e custo operacional. | Nível 3: Exemplo: um cadastro de clientes com consulta por código costuma caber bem em KSDS; já uma trilha de eventos append-only pode preferir ESDS; e um repositório apoiado por produto de banco pode usar LDS. | Nível 4: Uma decisão ruim de organização impacta performance por anos, porque muda utilitários, tratamento de erro, estratégia de backup e janela de batch."
mainframe,vsam/idcams,VSAM 016 - Print,"Para que serve o IDCAMS PRINT em análise operacional? Responda pensando em operação, modelagem e manutenção no ciclo 1.","Nível 1: PRINT ajuda a inspecionar conteúdo, cabeçalhos e evidências de dados durante suporte ou validação. | Nível 2: No ciclo 1, a resposta madura considera não só definição conceitual, mas também como o tipo de dataset afeta carga, reorganização, concorrência e custo operacional. | Nível 3: Exemplo: um cadastro de clientes com consulta por código costuma caber bem em KSDS; já uma trilha de eventos append-only pode preferir ESDS; e um repositório apoiado por produto de banco pode usar LDS. | Nível 4: Uma decisão ruim de organização impacta performance por anos, porque muda utilitários, tratamento de erro, estratégia de backup e janela de batch."
mainframe,vsam/idcams,VSAM 017 - Verify,"Quando o VERIFY é necessário em datasets VSAM? Responda pensando em operação, modelagem e manutenção no ciclo 1.","Nível 1: VERIFY ajusta e reconcilia metadados após encerramento anormal ou inconsistência entre catálogo e dataset. | Nível 2: No ciclo 1, a resposta madura considera não só definição conceitual, mas também como o tipo de dataset afeta carga, reorganização, concorrência e custo operacional. | Nível 3: Exemplo: um cadastro de clientes com consulta por código costuma caber bem em KSDS; já uma trilha de eventos append-only pode preferir ESDS; e um repositório apoiado por produto de banco pode usar LDS. | Nível 4: Uma decisão ruim de organização impacta performance por anos, porque muda utilitários, tratamento de erro, estratégia de backup e janela de batch."
mainframe,vsam/desempenho,VSAM 018 - Free Space,"Como o FREESPACE influencia splits e desempenho? Responda pensando em operação, modelagem e manutenção no ciclo 1.","Nível 1: FREESPACE reserva espaço dentro de CI/CA para reduzir splits durante inserções futuras. | Nível 2: No ciclo 1, a resposta madura considera não só definição conceitual, mas também como o tipo de dataset afeta carga, reorganização, concorrência e custo operacional. | Nível 3: Exemplo: um cadastro de clientes com consulta por código costuma caber bem em KSDS; já uma trilha de eventos append-only pode preferir ESDS; e um repositório apoiado por produto de banco pode usar LDS. | Nível 4: Uma decisão ruim de organização impacta performance por anos, porque muda utilitários, tratamento de erro, estratégia de backup e janela de batch."
mainframe,vsam/desempenho,VSAM 019 - Shareoptions,"Qual a importância de SHAREOPTIONS na concorrência? Responda pensando em operação, modelagem e manutenção no ciclo 1.","Nível 1: SHAREOPTIONS define o nível de compartilhamento e influencia concorrência entre jobs, CICS e demais consumidores. | Nível 2: No ciclo 1, a resposta madura considera não só definição conceitual, mas também como o tipo de dataset afeta carga, reorganização, concorrência e custo operacional. | Nível 3: Exemplo: um cadastro de clientes com consulta por código costuma caber bem em KSDS; já uma trilha de eventos append-only pode preferir ESDS; e um repositório apoiado por produto de banco pode usar LDS. | Nível 4: Uma decisão ruim de organização impacta performance por anos, porque muda utilitários, tratamento de erro, estratégia de backup e janela de batch."
mainframe,vsam/desempenho,VSAM 020 - Splits,"O que são CI split e CA split e por que degradam performance? Responda pensando em operação, modelagem e manutenção no ciclo 1.","Nível 1: Splits ocorrem quando falta espaço para inserção ordenada e o VSAM precisa redistribuir registros em CI ou CA. | Nível 2: No ciclo 1, a resposta madura considera não só definição conceitual, mas também como o tipo de dataset afeta carga, reorganização, concorrência e custo operacional. | Nível 3: Exemplo: um cadastro de clientes com consulta por código costuma caber bem em KSDS; já uma trilha de eventos append-only pode preferir ESDS; e um repositório apoiado por produto de banco pode usar LDS. | Nível 4: Uma decisão ruim de organização impacta performance por anos, porque muda utilitários, tratamento de erro, estratégia de backup e janela de batch."
mainframe,vsam/recuperacao,VSAM 021 - Catalog,"Como o catálogo influencia o uso de datasets VSAM? Responda pensando em operação, modelagem e manutenção no ciclo 1.","Nível 1: O catálogo guarda a definição e a localização lógica do dataset, viabilizando sua resolução pelo nome. | Nível 2: No ciclo 1, a resposta madura considera não só definição conceitual, mas também como o tipo de dataset afeta carga, reorganização, concorrência e custo operacional. | Nível 3: Exemplo: um cadastro de clientes com consulta por código costuma caber bem em KSDS; já uma trilha de eventos append-only pode preferir ESDS; e um repositório apoiado por produto de banco pode usar LDS. | Nível 4: Uma decisão ruim de organização impacta performance por anos, porque muda utilitários, tratamento de erro, estratégia de backup e janela de batch."
mainframe,vsam/recuperacao,VSAM 022 - Backup Restore,"Quais práticas ajudam no backup e restore de VSAM? Responda pensando em operação, modelagem e manutenção no ciclo 1.","Nível 1: Backup e restore de VSAM exigem atenção ao catálogo, consistência lógica e método de cópia apropriado. | Nível 2: No ciclo 1, a resposta madura considera não só definição conceitual, mas também como o tipo de dataset afeta carga, reorganização, concorrência e custo operacional. | Nível 3: Exemplo: um cadastro de clientes com consulta por código costuma caber bem em KSDS; já uma trilha de eventos append-only pode preferir ESDS; e um repositório apoiado por produto de banco pode usar LDS. | Nível 4: Uma decisão ruim de organização impacta performance por anos, porque muda utilitários, tratamento de erro, estratégia de backup e janela de batch."
mainframe,vsam/aplicacao,VSAM 023 - Cobol Vsam,"Como COBOL normalmente acessa arquivos VSAM? Responda pensando em operação, modelagem e manutenção no ciclo 1.","Nível 1: COBOL acessa VSAM via SELECT/FD e comandos READ, WRITE, REWRITE, DELETE, apoiado pelos file status. | Nível 2: No ciclo 1, a resposta madura considera não só definição conceitual, mas também como o tipo de dataset afeta carga, reorganização, concorrência e custo operacional. | Nível 3: Exemplo: um cadastro de clientes com consulta por código costuma caber bem em KSDS; já uma trilha de eventos append-only pode preferir ESDS; e um repositório apoiado por produto de banco pode usar LDS. | Nível 4: Uma decisão ruim de organização impacta performance por anos, porque muda utilitários, tratamento de erro, estratégia de backup e janela de batch."
mainframe,vsam/aplicacao,VSAM 024 - Alternate Index,"Quando um Alternate Index ajuda no desenho da solução? Responda pensando em operação, modelagem e manutenção no ciclo 1.","Nível 1: Alternate Index fornece caminho adicional de acesso quando consultas por uma chave secundária são frequentes. | Nível 2: No ciclo 1, a resposta madura considera não só definição conceitual, mas também como o tipo de dataset afeta carga, reorganização, concorrência e custo operacional. | Nível 3: Exemplo: um cadastro de clientes com consulta por código costuma caber bem em KSDS; já uma trilha de eventos append-only pode preferir ESDS; e um repositório apoiado por produto de banco pode usar LDS. | Nível 4: Uma decisão ruim de organização impacta performance por anos, porque muda utilitários, tratamento de erro, estratégia de backup e janela de batch."
mainframe,vsam/diagnostico,VSAM 025 - Status Codes,"Como interpretar file status comuns ao acessar VSAM? Responda pensando em operação, modelagem e manutenção no ciclo 1.","Nível 1: File status revela se houve sucesso, fim de arquivo, duplicidade, não encontrado ou falha de ambiente. | Nível 2: No ciclo 1, a resposta madura considera não só definição conceitual, mas também como o tipo de dataset afeta carga, reorganização, concorrência e custo operacional. | Nível 3: Exemplo: um cadastro de clientes com consulta por código costuma caber bem em KSDS; já uma trilha de eventos append-only pode preferir ESDS; e um repositório apoiado por produto de banco pode usar LDS. | Nível 4: Uma decisão ruim de organização impacta performance por anos, porque muda utilitários, tratamento de erro, estratégia de backup e janela de batch."
mainframe,vsam/conceitos,VSAM 026 - Ksds,"O que caracteriza um KSDS e em quais cenários ele costuma ser usado? Responda pensando em operação, modelagem e manutenção no ciclo 2.","Nível 1: KSDS organiza os registros por chave e mantém índice, permitindo acesso sequencial e direto com boa flexibilidade. | Nível 2: No ciclo 2, a resposta madura considera não só definição conceitual, mas também como o tipo de dataset afeta carga, reorganização, concorrência e custo operacional. | Nível 3: Exemplo: um cadastro de clientes com consulta por código costuma caber bem em KSDS; já uma trilha de eventos append-only pode preferir ESDS; e um repositório apoiado por produto de banco pode usar LDS. | Nível 4: Uma decisão ruim de organização impacta performance por anos, porque muda utilitários, tratamento de erro, estratégia de backup e janela de batch."
mainframe,vsam/conceitos,VSAM 027 - Esds,"O que caracteriza um ESDS e qual a limitação principal desse tipo de dataset? Responda pensando em operação, modelagem e manutenção no ciclo 2.","Nível 1: ESDS grava registros em ordem de entrada e normalmente acessa por posição relativa ou sequencial, não por chave primária pesquisável como KSDS. | Nível 2: No ciclo 2, a resposta madura considera não só definição conceitual, mas também como o tipo de dataset afeta carga, reorganização, concorrência e custo operacional. | Nível 3: Exemplo: um cadastro de clientes com consulta por código costuma caber bem em KSDS; já uma trilha de eventos append-only pode preferir ESDS; e um repositório apoiado por produto de banco pode usar LDS. | Nível 4: Uma decisão ruim de organização impacta performance por anos, porque muda utilitários, tratamento de erro, estratégia de backup e janela de batch."
mainframe,vsam/conceitos,VSAM 028 - Rrds,"Quando um RRDS é mais adequado do que um KSDS? Responda pensando em operação, modelagem e manutenção no ciclo 2.","Nível 1: RRDS é indicado quando a posição relativa do registro é mais estável e significativa para o negócio do que uma chave variável. | Nível 2: No ciclo 2, a resposta madura considera não só definição conceitual, mas também como o tipo de dataset afeta carga, reorganização, concorrência e custo operacional. | Nível 3: Exemplo: um cadastro de clientes com consulta por código costuma caber bem em KSDS; já uma trilha de eventos append-only pode preferir ESDS; e um repositório apoiado por produto de banco pode usar LDS. | Nível 4: Uma decisão ruim de organização impacta performance por anos, porque muda utilitários, tratamento de erro, estratégia de backup e janela de batch."
mainframe,vsam/conceitos,VSAM 029 - Lds,"Para que serve um LDS e por que ele é diferente dos demais tipos VSAM? Responda pensando em operação, modelagem e manutenção no ciclo 2.","Nível 1: LDS é um Linear Data Set sem estrutura de registros lógicos gerenciada por VSAM, muito usado por produtos como DB2. | Nível 2: No ciclo 2, a resposta madura considera não só definição conceitual, mas também como o tipo de dataset afeta carga, reorganização, concorrência e custo operacional. | Nível 3: Exemplo: um cadastro de clientes com consulta por código costuma caber bem em KSDS; já uma trilha de eventos append-only pode preferir ESDS; e um repositório apoiado por produto de banco pode usar LDS. | Nível 4: Uma decisão ruim de organização impacta performance por anos, porque muda utilitários, tratamento de erro, estratégia de backup e janela de batch."
mainframe,vsam/estrutura,VSAM 030 - Cluster Componentes,"Como cluster, data component e index component se relacionam em VSAM? Responda pensando em operação, modelagem e manutenção no ciclo 2.","Nível 1: O cluster é a definição lógica; data component guarda dados; index component guarda estrutura de navegação quando o tipo exige índice. | Nível 2: No ciclo 2, a resposta madura considera não só definição conceitual, mas também como o tipo de dataset afeta carga, reorganização, concorrência e custo operacional. | Nível 3: Exemplo: um cadastro de clientes com consulta por código costuma caber bem em KSDS; já uma trilha de eventos append-only pode preferir ESDS; e um repositório apoiado por produto de banco pode usar LDS. | Nível 4: Uma decisão ruim de organização impacta performance por anos, porque muda utilitários, tratamento de erro, estratégia de backup e janela de batch."
mainframe,vsam/estrutura,VSAM 031 - Ci Ca,"Qual a diferença entre Control Interval e Control Area? Responda pensando em operação, modelagem e manutenção no ciclo 2.","Nível 1: CI é a menor unidade de transferência de I/O; CA é um agrupamento de CIs usado para administração e alocação. | Nível 2: No ciclo 2, a resposta madura considera não só definição conceitual, mas também como o tipo de dataset afeta carga, reorganização, concorrência e custo operacional. | Nível 3: Exemplo: um cadastro de clientes com consulta por código costuma caber bem em KSDS; já uma trilha de eventos append-only pode preferir ESDS; e um repositório apoiado por produto de banco pode usar LDS. | Nível 4: Uma decisão ruim de organização impacta performance por anos, porque muda utilitários, tratamento de erro, estratégia de backup e janela de batch."
mainframe,vsam/acesso,VSAM 032 - Sequencial,"Como funciona o acesso sequencial em um dataset VSAM? Responda pensando em operação, modelagem e manutenção no ciclo 2.","Nível 1: No acesso sequencial o programa percorre registros na ordem física ou lógica definida pelo tipo do dataset. | Nível 2: No ciclo 2, a resposta madura considera não só definição conceitual, mas também como o tipo de dataset afeta carga, reorganização, concorrência e custo operacional. | Nível 3: Exemplo: um cadastro de clientes com consulta por código costuma caber bem em KSDS; já uma trilha de eventos append-only pode preferir ESDS; e um repositório apoiado por produto de banco pode usar LDS. | Nível 4: Uma decisão ruim de organização impacta performance por anos, porque muda utilitários, tratamento de erro, estratégia de backup e janela de batch."
mainframe,vsam/acesso,VSAM 033 - Direto,"Como funciona o acesso direto por chave em VSAM? Responda pensando em operação, modelagem e manutenção no ciclo 2.","Nível 1: No acesso direto o programa posiciona e recupera registro por chave ou endereço relativo, reduzindo varredura desnecessária. | Nível 2: No ciclo 2, a resposta madura considera não só definição conceitual, mas também como o tipo de dataset afeta carga, reorganização, concorrência e custo operacional. | Nível 3: Exemplo: um cadastro de clientes com consulta por código costuma caber bem em KSDS; já uma trilha de eventos append-only pode preferir ESDS; e um repositório apoiado por produto de banco pode usar LDS. | Nível 4: Uma decisão ruim de organização impacta performance por anos, porque muda utilitários, tratamento de erro, estratégia de backup e janela de batch."
mainframe,vsam/acesso,VSAM 034 - Dinamico,"Quando faz sentido usar acesso dinâmico? Responda pensando em operação, modelagem e manutenção no ciclo 2.","Nível 1: Acesso dinâmico serve quando a rotina alterna leituras sequenciais e posicionamentos por chave conforme a regra de negócio. | Nível 2: No ciclo 2, a resposta madura considera não só definição conceitual, mas também como o tipo de dataset afeta carga, reorganização, concorrência e custo operacional. | Nível 3: Exemplo: um cadastro de clientes com consulta por código costuma caber bem em KSDS; já uma trilha de eventos append-only pode preferir ESDS; e um repositório apoiado por produto de banco pode usar LDS. | Nível 4: Uma decisão ruim de organização impacta performance por anos, porque muda utilitários, tratamento de erro, estratégia de backup e janela de batch."
mainframe,vsam/operações,VSAM 035 - Read,"O que deve ser observado ao ler um registro VSAM? Responda pensando em operação, modelagem e manutenção no ciclo 2.","Nível 1: É preciso respeitar organização, modo de acesso, chave válida e retorno de status para fim de arquivo ou não encontrado. | Nível 2: No ciclo 2, a resposta madura considera não só definição conceitual, mas também como o tipo de dataset afeta carga, reorganização, concorrência e custo operacional. | Nível 3: Exemplo: um cadastro de clientes com consulta por código costuma caber bem em KSDS; já uma trilha de eventos append-only pode preferir ESDS; e um repositório apoiado por produto de banco pode usar LDS. | Nível 4: Uma decisão ruim de organização impacta performance por anos, porque muda utilitários, tratamento de erro, estratégia de backup e janela de batch."
mainframe,vsam/operações,VSAM 036 - Write,"Quais cuidados existem ao gravar um novo registro VSAM? Responda pensando em operação, modelagem e manutenção no ciclo 2.","Nível 1: Ao gravar, devem ser respeitados layout, chave, espaço disponível e regras de unicidade ou posicionamento do dataset. | Nível 2: No ciclo 2, a resposta madura considera não só definição conceitual, mas também como o tipo de dataset afeta carga, reorganização, concorrência e custo operacional. | Nível 3: Exemplo: um cadastro de clientes com consulta por código costuma caber bem em KSDS; já uma trilha de eventos append-only pode preferir ESDS; e um repositório apoiado por produto de banco pode usar LDS. | Nível 4: Uma decisão ruim de organização impacta performance por anos, porque muda utilitários, tratamento de erro, estratégia de backup e janela de batch."
mainframe,vsam/operações,VSAM 037 - Rewrite,"Quando um REWRITE é permitido e o que pode dar errado? Responda pensando em operação, modelagem e manutenção no ciclo 2.","Nível 1: REWRITE só é seguro após leitura adequada do registro-alvo e pode falhar por concorrência, chave inválida ou comprimento inconsistente. | Nível 2: No ciclo 2, a resposta madura considera não só definição conceitual, mas também como o tipo de dataset afeta carga, reorganização, concorrência e custo operacional. | Nível 3: Exemplo: um cadastro de clientes com consulta por código costuma caber bem em KSDS; já uma trilha de eventos append-only pode preferir ESDS; e um repositório apoiado por produto de banco pode usar LDS. | Nível 4: Uma decisão ruim de organização impacta performance por anos, porque muda utilitários, tratamento de erro, estratégia de backup e janela de batch."
mainframe,vsam/operações,VSAM 038 - Delete,"O que acontece ao excluir registros em KSDS e ESDS? Responda pensando em operação, modelagem e manutenção no ciclo 2.","Nível 1: Em KSDS o registro é removido logicamente do conjunto indexado; em ESDS a exclusão tem limitações e frequentemente exige reorganização operacional. | Nível 2: No ciclo 2, a resposta madura considera não só definição conceitual, mas também como o tipo de dataset afeta carga, reorganização, concorrência e custo operacional. | Nível 3: Exemplo: um cadastro de clientes com consulta por código costuma caber bem em KSDS; já uma trilha de eventos append-only pode preferir ESDS; e um repositório apoiado por produto de banco pode usar LDS. | Nível 4: Uma decisão ruim de organização impacta performance por anos, porque muda utilitários, tratamento de erro, estratégia de backup e janela de batch."
mainframe,vsam/idcams,VSAM 039 - Define Cluster,"Qual o papel do DEFINE CLUSTER na criação de um dataset VSAM? Responda pensando em operação, modelagem e manutenção no ciclo 2.","Nível 1: DEFINE CLUSTER cria a definição do dataset com parâmetros de espaço, organização, chaves e atributos operacionais. | Nível 2: No ciclo 2, a resposta madura considera não só definição conceitual, mas também como o tipo de dataset afeta carga, reorganização, concorrência e custo operacional. | Nível 3: Exemplo: um cadastro de clientes com consulta por código costuma caber bem em KSDS; já uma trilha de eventos append-only pode preferir ESDS; e um repositório apoiado por produto de banco pode usar LDS. | Nível 4: Uma decisão ruim de organização impacta performance por anos, porque muda utilitários, tratamento de erro, estratégia de backup e janela de batch."
mainframe,vsam/idcams,VSAM 040 - Repro,"Quando usar REPRO e quais limitações devem ser consideradas? Responda pensando em operação, modelagem e manutenção no ciclo 2.","Nível 1: REPRO copia ou carrega dados entre datasets, sendo muito útil em carga inicial, backup lógico e reorganização. | Nível 2: No ciclo 2, a resposta madura considera não só definição conceitual, mas também como o tipo de dataset afeta carga, reorganização, concorrência e custo operacional. | Nível 3: Exemplo: um cadastro de clientes com consulta por código costuma caber bem em KSDS; já uma trilha de eventos append-only pode preferir ESDS; e um repositório apoiado por produto de banco pode usar LDS. | Nível 4: Uma decisão ruim de organização impacta performance por anos, porque muda utilitários, tratamento de erro, estratégia de backup e janela de batch."
