id,nivel,categoria,pergunta,resposta,tags
11,1,SELECT,Como eu explicaria SELECT para um desenvolvedor iniciante em COBOL?,"Nível 1 - Conceito: SELECT relaciona um nome lógico de arquivo a um recurso externo e define organização, chave e modo de acesso. Nível 2 - Uso prático: o ganho aparece quando o programa cresce e a equipe precisa entender rapidamente intenção, dependências e impacto de mudança. Nível 3 - Exemplo: em manutenção de legado, ele ajuda a localizar responsabilidade do trecho e a diminuir o risco de alteração colateral.","SELECT, nível 1, cobol"
12,2,PIC,Como eu explicaria PICTURE para um desenvolvedor iniciante em COBOL?,"Nível 1 - Conceito: PICTURE especifica formato, tamanho e natureza do dado, influenciando validação, alinhamento e uso em operações. Nível 2 - Uso prático: o ganho aparece quando o programa cresce e a equipe precisa entender rapidamente intenção, dependências e impacto de mudança. Nível 3 - Exemplo: em manutenção de legado, ele ajuda a localizar responsabilidade do trecho e a diminuir o risco de alteração colateral.","PICTURE, nível 2, cobol"
13,3,USAGE COMP,Quais cuidados devo ter ao trabalhar com USAGE COMP em COBOL?,"Nível 1 - Conceito: USAGE COMP representa dados em formato binário interno, com foco em eficiência de processamento. Nível 2 - Uso prático: ele é valioso quando a lógica precisa ficar explícita para manutenção futura, auditoria e diagnóstico de falhas. Nível 3 - Exemplo: em batch noturno, esse ponto costuma ser decisivo para evitar erro silencioso, retrabalho operacional e leitura confusa do fluxo. Nível 4 - Cuidados: não basta saber a sintaxe; é preciso validar efeito sobre dados, mensagens de erro, caminhos alternativos e compatibilidade com o compilador.","USAGE COMP, nível 3, cobol"
14,4,USAGE COMP-3,Quais armadilhas comuns aparecem ao usar USAGE COMP-3 em sistemas legados COBOL?,"Nível 1 - Conceito: USAGE COMP-3 usa packed decimal, muito comum em valores monetários por preservar precisão decimal com boa compactação. Nível 2 - Uso prático: normalmente entra em cena quando se quer separar definição de dados, fluxo de processamento e tratamento de exceções de forma organizada. Nível 3 - Exemplo: quando o sistema integra arquivos, telas ou banco, esse recurso melhora rastreabilidade e torna o comportamento mais explicável para suporte. Nível 4 - Cuidados: em legado, muitos problemas surgem quando o time assume comportamento implícito; o ideal é tornar condições, limites e retornos o mais explícitos possível. Nível 5 - Critério de decisão: pense em ciclo completo - desenvolvimento, testes, execução, suporte e evolução do layout ou da regra - antes de padronizar o uso.","USAGE COMP-3, nível 4, cobol"
15,5,88 LEVEL,Que critérios técnicos ajudam a decidir o uso de nível 88 em COBOL?,"Nível 1 - Conceito: nível 88 cria nomes condicionais para valores fixos, tornando regras de negócio mais legíveis. Nível 2 - Uso prático: em projetos reais, ele costuma aparecer quando a equipe precisa de clareza operacional, menor retrabalho e comportamento previsível em produção. Nível 3 - Exemplo: uma aplicação de faturamento ou cadastro usa esse recurso para reduzir ambiguidade e tornar a regra mais segura diante de dados reais e volume alto. Nível 4 - Cuidados: convém observar volume, tratamento de exceção e legibilidade, porque uma escolha sintaticamente válida pode ser operacionalmente ruim. Nível 5 - Critério de decisão: a melhor escolha não é a mais curta, e sim a que preserva intenção, governança de dados e facilidade de suporte após a entrada em produção. Nível 6 - Sinal de maturidade: quem domina nível 88 não só escreve a instrução, mas entende seus efeitos em dados, contrato entre módulos, observabilidade e custo de manutenção no legado.","nível 88, nível 5, cobol"
16,1,REDEFINES,Qual é a diferença entre usar e não usar REDEFINES em COBOL?,"Nível 1 - Conceito: REDEFINES permite duas visões sobre a mesma área de memória, útil em layouts alternativos ou interpretação de bytes. Nível 2 - Uso prático: ele é valioso quando a lógica precisa ficar explícita para manutenção futura, auditoria e diagnóstico de falhas. Nível 3 - Exemplo: quando o sistema integra arquivos, telas ou banco, esse recurso melhora rastreabilidade e torna o comportamento mais explicável para suporte.","REDEFINES, nível 1, cobol"
17,2,OCCURS,"Em termos de projeto, por que OCCURS é importante em COBOL?","Nível 1 - Conceito: OCCURS define repetição de itens, formando tabelas indexadas ou subscritas. Nível 2 - Uso prático: em projetos reais, ele costuma aparecer quando a equipe precisa de clareza operacional, menor retrabalho e comportamento previsível em produção. Nível 3 - Exemplo: uma aplicação de faturamento ou cadastro usa esse recurso para reduzir ambiguidade e tornar a regra mais segura diante de dados reais e volume alto.","OCCURS, nível 2, cobol"
18,3,OCCURS DEPENDING,Qual é a diferença entre usar e não usar OCCURS DEPENDING ON em COBOL?,"Nível 1 - Conceito: OCCURS DEPENDING ON cria tabelas de tamanho lógico variável conforme um campo controlador. Nível 2 - Uso prático: normalmente entra em cena quando se quer separar definição de dados, fluxo de processamento e tratamento de exceções de forma organizada. Nível 3 - Exemplo: em manutenção de legado, ele ajuda a localizar responsabilidade do trecho e a diminuir o risco de alteração colateral. Nível 4 - Cuidados: convém observar volume, tratamento de exceção e legibilidade, porque uma escolha sintaticamente válida pode ser operacionalmente ruim.","OCCURS DEPENDING ON, nível 3, cobol"
19,4,INDEXED BY,"Em um ambiente corporativo, quais riscos e benefícios existem ao adotar INDEXED BY em COBOL?","Nível 1 - Conceito: INDEXED BY declara índice próprio da tabela, normalmente mais eficiente e semântico que subscritos em buscas iterativas. Nível 2 - Uso prático: o ganho aparece quando o programa cresce e a equipe precisa entender rapidamente intenção, dependências e impacto de mudança. Nível 3 - Exemplo: uma aplicação de faturamento ou cadastro usa esse recurso para reduzir ambiguidade e tornar a regra mais segura diante de dados reais e volume alto. Nível 4 - Cuidados: o erro típico é usar INDEXED BY sem considerar escopo, tipo de dado, contrato de interface ou impacto de performance; por isso vale combinar padronização, revisão e testes. Nível 5 - Critério de decisão: em ambientes corporativos, vale priorizar consistência entre programas, previsibilidade em erro e facilidade de auditoria, não apenas preferência pessoal.","INDEXED BY, nível 4, cobol"
20,5,MOVE,Como revisar código que usa MOVE sem cair em análise superficial?,"Nível 1 - Conceito: MOVE transfere conteúdo entre itens de dados, com conversões e alinhamentos compatíveis ao tipo. Nível 2 - Uso prático: em projetos reais, ele costuma aparecer quando a equipe precisa de clareza operacional, menor retrabalho e comportamento previsível em produção. Nível 3 - Exemplo: uma aplicação de faturamento ou cadastro usa esse recurso para reduzir ambiguidade e tornar a regra mais segura diante de dados reais e volume alto. Nível 4 - Cuidados: em legado, muitos problemas surgem quando o time assume comportamento implícito; o ideal é tornar condições, limites e retornos o mais explícitos possível. Nível 5 - Critério de decisão: pense em ciclo completo - desenvolvimento, testes, execução, suporte e evolução do layout ou da regra - antes de padronizar o uso. Nível 6 - Sinal de maturidade: quem domina MOVE não só escreve a instrução, mas entende seus efeitos em dados, contrato entre módulos, observabilidade e custo de manutenção no legado.","MOVE, nível 5, cobol"
21,1,COMPUTE,Quais cuidados devo ter ao trabalhar com COMPUTE em COBOL?,"Nível 1 - Conceito: COMPUTE executa expressões aritméticas de forma mais direta do que ADD, SUBTRACT e afins. Nível 2 - Uso prático: o ganho aparece quando o programa cresce e a equipe precisa entender rapidamente intenção, dependências e impacto de mudança. Nível 3 - Exemplo: em manutenção de legado, ele ajuda a localizar responsabilidade do trecho e a diminuir o risco de alteração colateral.","COMPUTE, nível 1, cobol"
22,2,ADD,Explique para que serve ADD em COBOL.,"Nível 1 - Conceito: ADD soma valores a um destino ou produz resultado em campos específicos. Nível 2 - Uso prático: o ganho aparece quando o programa cresce e a equipe precisa entender rapidamente intenção, dependências e impacto de mudança. Nível 3 - Exemplo: em manutenção de legado, ele ajuda a localizar responsabilidade do trecho e a diminuir o risco de alteração colateral.","ADD, nível 2, cobol"
23,3,SUBTRACT,Qual é a função prática de SUBTRACT em um programa COBOL?,"Nível 1 - Conceito: SUBTRACT subtrai valores respeitando regras de arredondamento, tamanho e sinal. Nível 2 - Uso prático: em projetos reais, ele costuma aparecer quando a equipe precisa de clareza operacional, menor retrabalho e comportamento previsível em produção. Nível 3 - Exemplo: quando o sistema integra arquivos, telas ou banco, esse recurso melhora rastreabilidade e torna o comportamento mais explicável para suporte. Nível 4 - Cuidados: o erro típico é usar SUBTRACT sem considerar escopo, tipo de dado, contrato de interface ou impacto de performance; por isso vale combinar padronização, revisão e testes.","SUBTRACT, nível 3, cobol"
24,4,MULTIPLY,"Como MULTIPLY influencia desempenho, depuração e estabilidade em COBOL?","Nível 1 - Conceito: MULTIPLY multiplica operandos e pode gravar o resultado em um ou mais destinos. Nível 2 - Uso prático: normalmente entra em cena quando se quer separar definição de dados, fluxo de processamento e tratamento de exceções de forma organizada. Nível 3 - Exemplo: em batch noturno, esse ponto costuma ser decisivo para evitar erro silencioso, retrabalho operacional e leitura confusa do fluxo. Nível 4 - Cuidados: não basta saber a sintaxe; é preciso validar efeito sobre dados, mensagens de erro, caminhos alternativos e compatibilidade com o compilador. Nível 5 - Critério de decisão: pense em ciclo completo - desenvolvimento, testes, execução, suporte e evolução do layout ou da regra - antes de padronizar o uso.","MULTIPLY, nível 4, cobol"
25,5,DIVIDE,Como revisar código que usa DIVIDE sem cair em análise superficial?,"Nível 1 - Conceito: DIVIDE efetua divisões com variantes que guardam quociente, resto e evitam lógica manual. Nível 2 - Uso prático: o ganho aparece quando o programa cresce e a equipe precisa entender rapidamente intenção, dependências e impacto de mudança. Nível 3 - Exemplo: uma aplicação de faturamento ou cadastro usa esse recurso para reduzir ambiguidade e tornar a regra mais segura diante de dados reais e volume alto. Nível 4 - Cuidados: não basta saber a sintaxe; é preciso validar efeito sobre dados, mensagens de erro, caminhos alternativos e compatibilidade com o compilador. Nível 5 - Critério de decisão: pense em ciclo completo - desenvolvimento, testes, execução, suporte e evolução do layout ou da regra - antes de padronizar o uso. Nível 6 - Sinal de maturidade: quem domina DIVIDE não só escreve a instrução, mas entende seus efeitos em dados, contrato entre módulos, observabilidade e custo de manutenção no legado.","DIVIDE, nível 5, cobol"
26,1,IF,"Em termos de projeto, por que IF é importante em COBOL?","Nível 1 - Conceito: IF controla desvios condicionais, mas exige cuidado com escopo e legibilidade. Nível 2 - Uso prático: normalmente entra em cena quando se quer separar definição de dados, fluxo de processamento e tratamento de exceções de forma organizada. Nível 3 - Exemplo: em batch noturno, esse ponto costuma ser decisivo para evitar erro silencioso, retrabalho operacional e leitura confusa do fluxo.","IF, nível 1, cobol"
27,2,EVALUATE,"Em termos de projeto, por que EVALUATE é importante em COBOL?","Nível 1 - Conceito: EVALUATE equivale a uma estrutura de múltiplos casos, geralmente mais clara que cadeias extensas de IF. Nível 2 - Uso prático: normalmente entra em cena quando se quer separar definição de dados, fluxo de processamento e tratamento de exceções de forma organizada. Nível 3 - Exemplo: quando o sistema integra arquivos, telas ou banco, esse recurso melhora rastreabilidade e torna o comportamento mais explicável para suporte.","EVALUATE, nível 2, cobol"
28,3,PERFORM,Qual é a diferença entre usar e não usar PERFORM em COBOL?,"Nível 1 - Conceito: PERFORM executa parágrafos, seções ou blocos inline, podendo repetir por contagem, condição ou intervalo. Nível 2 - Uso prático: o ganho aparece quando o programa cresce e a equipe precisa entender rapidamente intenção, dependências e impacto de mudança. Nível 3 - Exemplo: em batch noturno, esse ponto costuma ser decisivo para evitar erro silencioso, retrabalho operacional e leitura confusa do fluxo. Nível 4 - Cuidados: não basta saber a sintaxe; é preciso validar efeito sobre dados, mensagens de erro, caminhos alternativos e compatibilidade com o compilador.","PERFORM, nível 3, cobol"
29,4,PERFORM VARYING,Quais armadilhas comuns aparecem ao usar PERFORM VARYING em sistemas legados COBOL?,"Nível 1 - Conceito: PERFORM VARYING implementa laços controlados, comparáveis a FOR/WHILE em outras linguagens. Nível 2 - Uso prático: ele é valioso quando a lógica precisa ficar explícita para manutenção futura, auditoria e diagnóstico de falhas. Nível 3 - Exemplo: em batch noturno, esse ponto costuma ser decisivo para evitar erro silencioso, retrabalho operacional e leitura confusa do fluxo. Nível 4 - Cuidados: não basta saber a sintaxe; é preciso validar efeito sobre dados, mensagens de erro, caminhos alternativos e compatibilidade com o compilador. Nível 5 - Critério de decisão: a melhor escolha não é a mais curta, e sim a que preserva intenção, governança de dados e facilidade de suporte após a entrada em produção.","PERFORM VARYING, nível 4, cobol"
30,5,GO TO,Quais armadilhas comuns aparecem ao usar GO TO em sistemas legados COBOL?,"Nível 1 - Conceito: GO TO desvia o fluxo de execução; funciona, mas tende a piorar rastreabilidade quando abusado. Nível 2 - Uso prático: o ganho aparece quando o programa cresce e a equipe precisa entender rapidamente intenção, dependências e impacto de mudança. Nível 3 - Exemplo: em batch noturno, esse ponto costuma ser decisivo para evitar erro silencioso, retrabalho operacional e leitura confusa do fluxo. Nível 4 - Cuidados: em legado, muitos problemas surgem quando o time assume comportamento implícito; o ideal é tornar condições, limites e retornos o mais explícitos possível. Nível 5 - Critério de decisão: em ambientes corporativos, vale priorizar consistência entre programas, previsibilidade em erro e facilidade de auditoria, não apenas preferência pessoal. Nível 6 - Sinal de maturidade: quem domina GO TO não só escreve a instrução, mas entende seus efeitos em dados, contrato entre módulos, observabilidade e custo de manutenção no legado.","GO TO, nível 5, cobol"
31,1,NEXT SENTENCE,Explique para que serve NEXT SENTENCE em COBOL.,"Nível 1 - Conceito: NEXT SENTENCE salta para a próxima sentença terminada por ponto, podendo gerar comportamento menos óbvio. Nível 2 - Uso prático: ele é valioso quando a lógica precisa ficar explícita para manutenção futura, auditoria e diagnóstico de falhas. Nível 3 - Exemplo: quando o sistema integra arquivos, telas ou banco, esse recurso melhora rastreabilidade e torna o comportamento mais explicável para suporte.","NEXT SENTENCE, nível 1, cobol"
32,2,CONTINUE,Qual é a diferença entre usar e não usar CONTINUE em COBOL?,"Nível 1 - Conceito: CONTINUE não faz nada explicitamente e serve para deixar um ramo sintaticamente claro. Nível 2 - Uso prático: normalmente entra em cena quando se quer separar definição de dados, fluxo de processamento e tratamento de exceções de forma organizada. Nível 3 - Exemplo: em batch noturno, esse ponto costuma ser decisivo para evitar erro silencioso, retrabalho operacional e leitura confusa do fluxo.","CONTINUE, nível 2, cobol"
33,3,SEARCH,Explique para que serve SEARCH em COBOL.,"Nível 1 - Conceito: SEARCH procura em tabela usando índice, útil em varredura sequencial controlada. Nível 2 - Uso prático: o ganho aparece quando o programa cresce e a equipe precisa entender rapidamente intenção, dependências e impacto de mudança. Nível 3 - Exemplo: quando o sistema integra arquivos, telas ou banco, esse recurso melhora rastreabilidade e torna o comportamento mais explicável para suporte. Nível 4 - Cuidados: convém observar volume, tratamento de exceção e legibilidade, porque uma escolha sintaticamente válida pode ser operacionalmente ruim.","SEARCH, nível 3, cobol"
34,4,SEARCH ALL,Como revisar código que usa SEARCH ALL sem cair em análise superficial?,"Nível 1 - Conceito: SEARCH ALL faz busca binária em tabela ordenada, com melhor desempenho em grandes volumes. Nível 2 - Uso prático: o ganho aparece quando o programa cresce e a equipe precisa entender rapidamente intenção, dependências e impacto de mudança. Nível 3 - Exemplo: uma aplicação de faturamento ou cadastro usa esse recurso para reduzir ambiguidade e tornar a regra mais segura diante de dados reais e volume alto. Nível 4 - Cuidados: convém observar volume, tratamento de exceção e legibilidade, porque uma escolha sintaticamente válida pode ser operacionalmente ruim. Nível 5 - Critério de decisão: pense em ciclo completo - desenvolvimento, testes, execução, suporte e evolução do layout ou da regra - antes de padronizar o uso.","SEARCH ALL, nível 4, cobol"
35,5,STRING,Quais armadilhas comuns aparecem ao usar STRING em sistemas legados COBOL?,"Nível 1 - Conceito: STRING concatena campos em um destino, com delimitadores e controle de ponteiro. Nível 2 - Uso prático: ele é valioso quando a lógica precisa ficar explícita para manutenção futura, auditoria e diagnóstico de falhas. Nível 3 - Exemplo: uma aplicação de faturamento ou cadastro usa esse recurso para reduzir ambiguidade e tornar a regra mais segura diante de dados reais e volume alto. Nível 4 - Cuidados: não basta saber a sintaxe; é preciso validar efeito sobre dados, mensagens de erro, caminhos alternativos e compatibilidade com o compilador. Nível 5 - Critério de decisão: pense em ciclo completo - desenvolvimento, testes, execução, suporte e evolução do layout ou da regra - antes de padronizar o uso. Nível 6 - Sinal de maturidade: quem domina STRING não só escreve a instrução, mas entende seus efeitos em dados, contrato entre módulos, observabilidade e custo de manutenção no legado.","STRING, nível 5, cobol"
36,1,UNSTRING,Qual é a função prática de UNSTRING em um programa COBOL?,"Nível 1 - Conceito: UNSTRING separa um texto em partes com base em delimitadores, preenchendo campos distintos. Nível 2 - Uso prático: em projetos reais, ele costuma aparecer quando a equipe precisa de clareza operacional, menor retrabalho e comportamento previsível em produção. Nível 3 - Exemplo: em manutenção de legado, ele ajuda a localizar responsabilidade do trecho e a diminuir o risco de alteração colateral.","UNSTRING, nível 1, cobol"
37,2,INSPECT,Explique para que serve INSPECT em COBOL.,"Nível 1 - Conceito: INSPECT conta, substitui ou examina caracteres e padrões em strings. Nível 2 - Uso prático: em projetos reais, ele costuma aparecer quando a equipe precisa de clareza operacional, menor retrabalho e comportamento previsível em produção. Nível 3 - Exemplo: uma aplicação de faturamento ou cadastro usa esse recurso para reduzir ambiguidade e tornar a regra mais segura diante de dados reais e volume alto.","INSPECT, nível 2, cobol"
38,3,INITIALIZE,Qual é a função prática de INITIALIZE em um programa COBOL?,"Nível 1 - Conceito: INITIALIZE zera ou reseta grupos de dados segundo regras de categoria. Nível 2 - Uso prático: em projetos reais, ele costuma aparecer quando a equipe precisa de clareza operacional, menor retrabalho e comportamento previsível em produção. Nível 3 - Exemplo: em manutenção de legado, ele ajuda a localizar responsabilidade do trecho e a diminuir o risco de alteração colateral. Nível 4 - Cuidados: o erro típico é usar INITIALIZE sem considerar escopo, tipo de dado, contrato de interface ou impacto de performance; por isso vale combinar padronização, revisão e testes.","INITIALIZE, nível 3, cobol"
39,4,SET,Quais armadilhas comuns aparecem ao usar SET em sistemas legados COBOL?,"Nível 1 - Conceito: SET atribui índices, ponteiros, condition-names e chaves internas de forma semântica. Nível 2 - Uso prático: ele é valioso quando a lógica precisa ficar explícita para manutenção futura, auditoria e diagnóstico de falhas. Nível 3 - Exemplo: quando o sistema integra arquivos, telas ou banco, esse recurso melhora rastreabilidade e torna o comportamento mais explicável para suporte. Nível 4 - Cuidados: não basta saber a sintaxe; é preciso validar efeito sobre dados, mensagens de erro, caminhos alternativos e compatibilidade com o compilador. Nível 5 - Critério de decisão: em ambientes corporativos, vale priorizar consistência entre programas, previsibilidade em erro e facilidade de auditoria, não apenas preferência pessoal.","SET, nível 4, cobol"
40,5,OPEN,Que critérios técnicos ajudam a decidir o uso de OPEN em COBOL?,"Nível 1 - Conceito: OPEN prepara arquivos para leitura, escrita, extensão ou I-O antes de qualquer operação. Nível 2 - Uso prático: normalmente entra em cena quando se quer separar definição de dados, fluxo de processamento e tratamento de exceções de forma organizada. Nível 3 - Exemplo: quando o sistema integra arquivos, telas ou banco, esse recurso melhora rastreabilidade e torna o comportamento mais explicável para suporte. Nível 4 - Cuidados: o erro típico é usar OPEN sem considerar escopo, tipo de dado, contrato de interface ou impacto de performance; por isso vale combinar padronização, revisão e testes. Nível 5 - Critério de decisão: use OPEN quando ele simplificar o raciocínio de negócio e a operação; evite quando adicionar acoplamento, ambiguidade ou custo desnecessário de manutenção. Nível 6 - Sinal de maturidade: quem domina OPEN não só escreve a instrução, mas entende seus efeitos em dados, contrato entre módulos, observabilidade e custo de manutenção no legado.","OPEN, nível 5, cobol"
41,1,READ,Como eu explicaria READ para um desenvolvedor iniciante em COBOL?,"Nível 1 - Conceito: READ obtém registro de arquivo sequencial, relativo ou indexado conforme a organização. Nível 2 - Uso prático: o ganho aparece quando o programa cresce e a equipe precisa entender rapidamente intenção, dependências e impacto de mudança. Nível 3 - Exemplo: quando o sistema integra arquivos, telas ou banco, esse recurso melhora rastreabilidade e torna o comportamento mais explicável para suporte.","READ, nível 1, cobol"
42,2,WRITE,Como eu explicaria WRITE para um desenvolvedor iniciante em COBOL?,"Nível 1 - Conceito: WRITE grava novo registro em arquivo, respeitando organização e estado de abertura. Nível 2 - Uso prático: normalmente entra em cena quando se quer separar definição de dados, fluxo de processamento e tratamento de exceções de forma organizada. Nível 3 - Exemplo: uma aplicação de faturamento ou cadastro usa esse recurso para reduzir ambiguidade e tornar a regra mais segura diante de dados reais e volume alto.","WRITE, nível 2, cobol"
43,3,REWRITE,Qual é a função prática de REWRITE em um programa COBOL?,"Nível 1 - Conceito: REWRITE atualiza registro existente, normalmente após um READ bem-sucedido do mesmo registro. Nível 2 - Uso prático: em projetos reais, ele costuma aparecer quando a equipe precisa de clareza operacional, menor retrabalho e comportamento previsível em produção. Nível 3 - Exemplo: em manutenção de legado, ele ajuda a localizar responsabilidade do trecho e a diminuir o risco de alteração colateral. Nível 4 - Cuidados: em legado, muitos problemas surgem quando o time assume comportamento implícito; o ideal é tornar condições, limites e retornos o mais explícitos possível.","REWRITE, nível 3, cobol"
